N,D,C_flop,loss,tokens_per_param,source
278352501.2518727,21413543472.380516,3.576308031721697e+19,2.7122874933645,76.92958883456934,Hoffmann2022_reconstructed_Besiroglu2024
278352501.2518727,10955322744.748919,1.8296648928134357e+19,2.8115866292955167,39.357730559194,Hoffmann2022_reconstructed_Besiroglu2024
278352698.62794495,40893658056.399666,6.829716046060349e+19,2.6599757580335908,146.91310074582546,Hoffmann2022_reconstructed_Besiroglu2024
305635704.1668405,2797881886.159263,5.130795602711605e+18,3.07143034313885,9.154303139373908,Hoffmann2022_reconstructed_Besiroglu2024
305635704.1668405,4942760196.716389,9.064103959507466e+18,2.949663448686964,16.172064092414523,Hoffmann2022_reconstructed_Besiroglu2024
305636065.37064266,5561157006.26423,1.0198140877817889e+19,2.914521190461052,18.1953559686101,Hoffmann2022_reconstructed_Besiroglu2024
305636065.37064266,14831606868.870422,2.719844379915452e+19,2.7449912897159163,48.52701807584206,Hoffmann2022_reconstructed_Besiroglu2024
305636137.61145467,20417386074.298042,3.7441746119222125e+19,2.704172606664561,66.80291877086212,Hoffmann2022_reconstructed_Besiroglu2024
305636137.61145467,11085603681.26325,2.0328966553395737e+19,2.7780894167931174,36.27059210961506,Hoffmann2022_reconstructed_Besiroglu2024
305636354.3339921,43797669311.83944,8.031695986077824e+19,2.640121479394902,143.29993369826153,Hoffmann2022_reconstructed_Besiroglu2024
424609581.1910424,2196780669.5863123,5.596644720489731e+18,3.122463718742479,5.173648374641659,Hoffmann2022_reconstructed_Besiroglu2024
424609581.1910424,3687867441.2314873,9.395423098256298e+18,2.962954091342755,8.685313767265708,Hoffmann2022_reconstructed_Besiroglu2024
424609581.1910424,35083967399.50383,8.938193222414103e+19,2.5969714788717795,82.6264148375839,Hoffmann2022_reconstructed_Besiroglu2024
424609581.1910424,10510210975.580679,2.677641768342486e+19,2.757359717151634,24.752646763408464,Hoffmann2022_reconstructed_Besiroglu2024
424609581.1910424,22255379345.352547,5.6699083818467525e+19,2.6599757580335908,52.41374743105313,Hoffmann2022_reconstructed_Besiroglu2024
424609882.2760728,12158794908.22053,3.0976466847590597e+19,2.736778556603052,28.6352141477365,Hoffmann2022_reconstructed_Besiroglu2024
424609882.2760728,23212348710.78956,5.913715592063703e+19,2.640121479394902,54.667471671555106,Hoffmann2022_reconstructed_Besiroglu2024
424610584.80864125,111388297613.00502,2.8377990114178227e+20,2.5165346421087142,262.3304778499675,Hoffmann2022_reconstructed_Besiroglu2024
488545738.5132437,5758551707.825507,1.687989538119788e+19,2.836974331044393,11.787129134213915,Hoffmann2022_reconstructed_Besiroglu2024
488546084.9345567,12450289131.080402,3.649524006775557e+19,2.704172606664561,25.484369878326184,Hoffmann2022_reconstructed_Besiroglu2024
488546084.9345567,23956833958.842438,7.022410462811826e+19,2.616495387341047,49.03699916467774,Hoffmann2022_reconstructed_Besiroglu2024
488546662.3039575,47131253761.58017,1.3815490029252502e+20,2.554520985765487,96.47236875861955,Hoffmann2022_reconstructed_Besiroglu2024
509239983.3099576,6749984658.347844,2.062417244855716e+19,2.790606978320643,13.255017044172964,Hoffmann2022_reconstructed_Besiroglu2024
509240224.040148,13366488616.667095,4.084052194668984e+19,2.6799733296868915,26.247904202503246,Hoffmann2022_reconstructed_Besiroglu2024
552481732.8553306,2781104067.481997,9.219055166720772e+18,2.9852294397432493,5.033838952663145,Hoffmann2022_reconstructed_Besiroglu2024
552481994.0269529,1654400568.762921,5.484159150896782e+18,3.1838780021322792,2.99448776005216,Hoffmann2022_reconstructed_Besiroglu2024
552481994.0269529,25520365277.17247,8.459725377977074e+19,2.577587469373751,46.19221178804147,Hoffmann2022_reconstructed_Besiroglu2024
552481994.0269529,16129550897.928581,5.346771865708087e+19,2.640121479394902,29.19470873677324,Hoffmann2022_reconstructed_Besiroglu2024
552481994.0269529,5849774469.357177,1.939137038063048e+19,2.803174649739657,10.588172162352489,Hoffmann2022_reconstructed_Besiroglu2024
552482124.612811,8332821541.279667,2.762240969487353e+19,2.7449912897159163,15.082517913352314,Hoffmann2022_reconstructed_Besiroglu2024
552482255.198699,24898976301.097374,8.253745547381542e+19,2.585322489772079,45.06746789929482,Hoffmann2022_reconstructed_Besiroglu2024
552482255.198699,12425126796.526947,4.118797244204996e+19,2.6799733296868915,22.489639585000386,Hoffmann2022_reconstructed_Besiroglu2024
586598189.8569033,2645312626.5351734,9.31041358998686e+18,2.9852294397432493,4.509581980095233,Hoffmann2022_reconstructed_Besiroglu2024
586598328.5065396,25445923955.684406,8.955921875825392e+19,2.585322489772079,43.37878701507539,Hoffmann2022_reconstructed_Besiroglu2024
586598605.8059111,8025061823.649483,2.824494046355417e+19,2.736778556603052,13.68066978717769,Hoffmann2022_reconstructed_Besiroglu2024
586598605.8059111,6830199387.067873,2.4039512626982416e+19,2.7780894167931174,11.643736141656964,Hoffmann2022_reconstructed_Besiroglu2024
586598744.4556456,13432022843.924868,4.727524641447526e+19,2.6480441566036577,22.898144550905194,Hoffmann2022_reconstructed_Besiroglu2024
586598744.4556456,24932528514.18258,8.77523395351445e+19,2.577587469373751,42.50354906115521,Hoffmann2022_reconstructed_Besiroglu2024
586599437.7048118,52000035595.235085,1.830191498447706e+20,2.5052520841348382,88.64658274937268,Hoffmann2022_reconstructed_Besiroglu2024
586599437.7048118,76825733940.59251,2.7039559398486625e+20,2.464300850287136,130.96796383097237,Hoffmann2022_reconstructed_Besiroglu2024
632223970.1991626,2474655690.289924,9.387219872346272e+18,2.998680336233436,3.9142073172429077,Hoffmann2022_reconstructed_Besiroglu2024
632224269.06689,15184255450.624891,5.759912882157757e+19,2.640121479394902,24.017198000063456,Hoffmann2022_reconstructed_Besiroglu2024
632224269.06689,23529381136.09793,8.92550747421947e+19,2.566031188935832,37.21682682448322,Hoffmann2022_reconstructed_Besiroglu2024
